sol,name,udr_image_id,filter_used,comp_quality
121,McamRImage_0408234418-00000-1,11764,0,-95
277,McamRRecoveredProduct_0422080652-24222-1,11764,NULL,0
121,McamRImage_0408234475-00000-1,11766,0,-95
277,McamRRecoveredProduct_0422080656-01459-1,11766,NULL,0
121,McamRImage_0408234508-00000-1,11768,0,-95
277,McamRRecoveredProduct_0422080659-12716-1,11768,NULL,0
121,McamRImage_0408234543-00000-1,11770,0,-95
277,McamRRecoveredProduct_0422080662-39555-1,11770,NULL,0
121,McamRImage_0408234580-00000-1,11772,0,-95
277,McamRRecoveredProduct_0422080665-51173-1,11772,NULL,0
121,McamRImage_0408234613-00000-1,11774,0,-95
277,McamRRecoveredProduct_0422080668-56659-1,11774,NULL,0
121,McamRImage_0408234648-00000-1,11776,0,-95
277,McamRRecoveredProduct_0422080672-18822-1,11776,NULL,0
121,McamRImage_0408234683-00000-1,11778,0,-95
277,McamRRecoveredProduct_0422080675-23406-1,11778,NULL,0
121,McamRImage_0408234718-00000-1,11780,0,-95
277,McamRRecoveredProduct_0422080678-58795-1,11780,NULL,0
121,McamRImage_0408234760-00000-1,11782,0,-95
277,McamRRecoveredProduct_0422080682-31442-1,11782,NULL,0
121,McamRImage_0408234799-00000-1,11784,0,-95
277,McamRRecoveredProduct_0422080686-01850-1,11784,NULL,0
121,McamRImage_0408234837-00000-1,11786,0,-95
277,McamRRecoveredProduct_0422080689-29427-1,11786,NULL,0
121,McamRImage_0408234875-00000-1,11788,0,-95
277,McamRRecoveredProduct_0422080692-56767-1,11788,NULL,0
121,McamRImage_0408234914-00000-1,11790,0,-95
277,McamRRecoveredProduct_0422080696-20208-1,11790,NULL,0
121,McamRImage_0408234952-00000-1,11792,0,-95
277,McamRRecoveredProduct_0422080699-50615-1,11792,NULL,0
121,McamRImage_0408234990-00000-1,11794,0,-95
277,McamRRecoveredProduct_0422080703-21449-1,11794,NULL,0
121,McamRImage_0408235029-00000-1,11796,0,-95
277,McamRRecoveredProduct_0422080706-54650-1,11796,NULL,0
121,McamRImage_0408235068-00000-1,11798,0,-95
277,McamRRecoveredProduct_0422080710-22403-1,11798,NULL,0
121,McamRImage_0408235107-00000-1,11800,0,-95
277,McamRRecoveredProduct_0422080714-07605-1,11800,NULL,0
121,McamRImage_0408235145-00000-1,11802,0,-95
277,McamRRecoveredProduct_0422080717-39739-1,11802,NULL,0
121,McamRImage_0408235183-00000-1,11804,0,-95
277,McamRRecoveredProduct_0422080721-01893-1,11804,NULL,0
121,McamRImage_0408235223-00000-1,11806,0,-95
277,McamRRecoveredProduct_0422080724-29602-1,11806,NULL,0
121,McamRImage_0408235262-00000-1,11808,0,-95
277,McamRRecoveredProduct_0422080727-62948-1,11808,NULL,0
121,McamRImage_0408235301-00000-1,11810,0,-95
277,McamRRecoveredProduct_0422080731-38290-1,11810,NULL,0
121,McamRImage_0408235351-00000-1,11812,0,-95
277,McamRRecoveredProduct_0422080736-13608-1,11812,NULL,0
121,McamRImage_0408235389-00000-1,11814,0,-95
277,McamRRecoveredProduct_0422080739-38399-1,11814,NULL,0
121,McamRImage_0408235426-00000-1,11816,0,-95
277,McamRRecoveredProduct_0422080743-01567-1,11816,NULL,0
121,McamRImage_0408235463-00000-1,11818,0,-95
277,McamRRecoveredProduct_0422080746-23851-1,11818,NULL,0
121,McamRImage_0408235500-00000-1,11820,0,-95
